Customer_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
137,Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,N
311,Female,No,0,Graduate,No,2917,0.0,84,360,1,Semiurban,Y
455,Male,No,0,Graduate,Yes,7085,0.0,84,360,1,Semiurban,Y
557,Female,No,0,Graduate,No,2667,1625.0,84,360,1,Urban,Y
118,Male,Yes,1,Graduate,No,2214,1398.0,85,360,1,Urban,Y
479,Male,Yes,1,Graduate,Yes,16667,2250.0,86,360,1,Semiurban,Y
175,Male,Yes,0,Not Graduate,Yes,4344,736.0,87,360,1,Semiurban,N
429,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
46,Female,No,0,Graduate,No,3410,0.0,88,120,1,Urban,Y
138,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y
318,Male,Yes,0,Graduate,No,2058,2134.0,88,360,1,Urban,Y
598,Male,No,0,Graduate,No,2987,0.0,88,360,0,Semiurban,N
286,Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,Y
201,Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,Y
250,Male,Yes,0,Graduate,No,1809,1868.0,90,360,1,Urban,Y
270,Female,No,1,Graduate,No,2876,1560.0,90,360,1,Urban,Y
275,Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban,Y
454,Male,Yes,0,Graduate,No,2483,2466.0,90,180,0,Rural,Y
582,Male,No,0,Graduate,No,1836,33837.0,90,360,1,Urban,N
126,Female,No,0,Graduate,No,3692,0.0,93,360,1,Rural,Y
301,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,N
474,Female,No,0,Graduate,Yes,2500,0.0,93,360,1,Urban,Y
110,Male,Yes,4,Not Graduate,No,2071,754.0,94,480,1,Semiurban,Y
258,Male,Yes,4,Graduate,No,5250,0.0,94,360,1,Urban,N
529,Male,No,1,Not Graduate,No,2679,1302.0,94,360,1,Semiurban,Y
589,Male,No,0,Graduate,No,4750,0.0,94,360,1,Semiurban,Y
7,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,Y
74,Male,Yes,4,Not Graduate,No,4755,0.0,95,120,0,Semiurban,N
171,Male,Yes,0,Not Graduate,Yes,1820,1769.0,95,360,1,Rural,Y
353,Male,Yes,4,Graduate,No,2666,2083.0,95,360,1,Rural,Y
364,Male,Yes,0,Graduate,No,3013,3033.0,95,300,1,Urban,Y
398,Male,Yes,0,Graduate,No,3033,1459.0,95,360,1,Urban,Y
499,Male,Yes,1,Graduate,Yes,2895,0.0,95,360,1,Semiurban,Y
520,Female,No,0,Not Graduate,No,3400,0.0,95,360,1,Rural,N
543,Female,No,1,Graduate,No,3652,0.0,95,360,1,Semiurban,Y
45,Male,Yes,0,Not Graduate,Yes,4695,0.0,96,120,1,Urban,Y
57,Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y
240,Male,Yes,1,Graduate,No,3315,0.0,96,360,1,Semiurban,Y
304,Male,Yes,1,Graduate,No,1625,1803.0,96,360,1,Urban,Y
367,Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban,N
425,Male,Yes,0,Graduate,No,14880,0.0,96,360,1,Semiurban,Y
456,Male,Yes,2,Graduate,No,3859,0.0,96,360,1,Semiurban,Y
491,Male,No,0,Not Graduate,No,2699,2785.0,96,360,1,Semiurban,Y
508,Male,No,0,Graduate,No,3583,0.0,96,360,1,Urban,N
56,Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,Y
72,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y
161,Male,Yes,0,Not Graduate,No,1863,1041.0,98,360,1,Semiurban,Y
332,Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban,Y
465,Male,No,0,Graduate,No,4166,0.0,98,360,0,Semiurban,N
469,Female,Yes,2,Not Graduate,Yes,210,2917.0,98,360,1,Semiurban,Y
62,Male,Yes,4,Graduate,No,3029,0.0,99,360,1,Urban,Y
87,Male,Yes,2,Not Graduate,No,3333,2000.0,99,360,1,Semiurban,Y
287,Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban,N
542,Female,No,0,Graduate,No,2138,0.0,99,360,0,Semiurban,N
17,Male,No,1,Not Graduate,No,3596,0.0,100,240,1,Urban,Y
37,Male,Yes,0,Graduate,No,1828,1330.0,100,120,0,Urban,N
51,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y
106,Male,Yes,1,Graduate,No,3052,1030.0,100,360,1,Urban,Y
146,Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y
216,Male,Yes,4,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y
359,Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban,N
385,Male,Yes,2,Graduate,No,4566,0.0,100,360,1,Urban,N
423,Male,Yes,0,Graduate,No,1820,1719.0,100,360,1,Urban,Y
435,Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban,Y
473,Male,Yes,4,Graduate,No,4691,0.0,100,360,1,Semiurban,Y
502,Female,No,0,Graduate,No,3159,0.0,100,360,1,Semiurban,Y
511,Male,No,0,Not Graduate,No,3598,1287.0,100,360,1,Rural,N
523,Male,Yes,4,Graduate,Yes,5677,1424.0,100,360,1,Rural,Y
532,Male,Yes,4,Graduate,No,4281,0.0,100,360,1,Urban,Y
177,Male,Yes,2,Graduate,No,2045,1619.0,101,360,1,Rural,Y
135,Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,Y
180,Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N
545,Female,Yes,0,Not Graduate,No,3017,663.0,102,360,1,Semiurban,Y
400,Female,No,0,Graduate,No,1500,1800.0,103,360,0,Semiurban,N
403,Male,No,0,Graduate,No,2500,20000.0,103,360,1,Semiurban,Y
549,Female,No,0,Graduate,No,5000,0.0,103,360,0,Semiurban,N
21,Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,N
88,Male,Yes,0,Graduate,No,2500,2118.0,104,360,1,Semiurban,Y
231,Male,Yes,1,Graduate,No,2491,2054.0,104,360,1,Semiurban,Y
253,Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,Y
308,Female,No,0,Graduate,No,2400,1863.0,104,360,0,Urban,N
570,Male,Yes,0,Graduate,No,3166,2064.0,104,360,0,Urban,N
587,Male,Yes,0,Graduate,No,2297,1522.0,104,360,1,Urban,Y
302,Male,Yes,2,Not Graduate,No,2875,1750.0,105,360,1,Semiurban,Y
354,Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural,N
432,Male,No,0,Graduate,No,6500,0.0,105,360,0,Rural,N
496,Female,Yes,1,Graduate,No,3326,913.0,105,84,1,Semiurban,Y
33,Male,No,1,Graduate,Yes,4692,0.0,106,360,1,Rural,N
590,Male,Yes,2,Graduate,Yes,2726,0.0,106,360,0,Semiurban,N
497,Male,Yes,0,Not Graduate,No,2600,1700.0,107,360,1,Rural,Y
538,Male,No,2,Graduate,No,3617,0.0,107,360,1,Semiurban,Y
579,Male,Yes,1,Graduate,No,1782,2232.0,107,360,1,Rural,Y
185,Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban,Y
244,Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural,Y
561,Male,Yes,2,Not Graduate,No,3675,242.0,108,360,1,Semiurban,Y
576,Male,Yes,2,Graduate,No,3159,461.0,108,84,1,Urban,Y
609,Male,Yes,0,Graduate,No,3232,1950.0,108,360,1,Rural,Y
12,Male,Yes,2,Graduate,No,2500,1840.0,109,360,1,Urban,Y
399,Male,No,0,Not Graduate,No,3902,1666.0,109,360,1,Rural,Y
28,Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y
40,Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y
78,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N
296,Male,Yes,4,Graduate,No,4416,1250.0,110,360,1,Urban,Y
329,Female,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
375,Female,No,0,Graduate,No,2764,1459.0,110,360,1,Urban,Y
414,Male,Yes,0,Not Graduate,No,2253,2033.0,110,360,1,Rural,Y
424,Male,Yes,1,Graduate,No,7250,1667.0,110,120,0,Urban,N
447,Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural,Y
468,Male,Yes,0,Graduate,No,16692,0.0,110,360,1,Semiurban,Y
470,Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
493,Male,No,0,Not Graduate,No,3691,0.0,110,360,1,Rural,Y
527,Male,Yes,0,Graduate,No,3775,0.0,110,360,1,Semiurban,Y
533,Male,No,2,Graduate,No,3588,0.0,110,360,0,Rural,N
550,Male,Yes,0,Graduate,No,2785,2016.0,110,360,1,Rural,Y
578,Male,No,0,Graduate,No,3229,2739.0,110,360,1,Urban,Y
596,Male,No,0,Not Graduate,No,3833,0.0,110,360,1,Rural,Y
81,Female,No,0,Graduate,No,3846,0.0,111,360,1,Semiurban,Y
312,Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y
316,Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,Y
374,Male,No,1,Graduate,No,3062,1987.0,111,180,0,Urban,N
498,Male,Yes,0,Graduate,No,4625,2857.0,111,12,0,Urban,Y
24,Male,Yes,2,Not Graduate,No,3365,1917.0,112,360,0,Rural,N
53,Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,N
167,Female,Yes,0,Graduate,No,4583,0.0,112,360,1,Rural,N
239,Female,No,1,Graduate,No,3812,0.0,112,360,1,Rural,Y
247,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,Y
282,Male,Yes,0,Graduate,No,3927,800.0,112,360,1,Semiurban,Y
319,Female,No,1,Graduate,No,3541,0.0,112,360,0,Semiurban,Y
419,Male,Yes,0,Graduate,No,1025,2773.0,112,360,1,Rural,Y
76,Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,N
154,Male,Yes,2,Not Graduate,No,2281,0.0,113,360,1,Rural,N
199,Female,Yes,0,Graduate,No,3416,2816.0,113,360,0,Semiurban,Y
300,Male,Yes,1,Graduate,No,2014,2925.0,113,360,1,Urban,N
386,Male,No,1,Graduate,No,3667,0.0,113,180,1,Urban,Y
394,Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban,Y
395,Male,Yes,2,Graduate,No,3100,1400.0,113,360,1,Urban,Y
472,Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural,N
482,Male,Yes,4,Not Graduate,No,3095,0.0,113,360,1,Rural,Y
501,Female,No,0,Graduate,No,645,3683.0,113,480,1,Rural,Y
517,Female,Yes,2,Graduate,No,2031,1632.0,113,480,1,Semiurban,Y
14,Male,No,0,Graduate,No,1853,2840.0,114,360,1,Rural,N
34,Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y
20,Male,Yes,0,Graduate,No,2600,3500.0,115,120,1,Urban,Y
99,Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,Y
257,Male,No,0,Not Graduate,No,6045,0.0,115,360,0,Rural,N
276,Male,Yes,1,Graduate,No,2750,1842.0,115,360,1,Semiurban,Y
289,Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,Y
321,Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,Y
406,Female,No,0,Graduate,No,4547,0.0,115,360,1,Semiurban,Y
407,Male,Yes,0,Not Graduate,No,2167,2400.0,115,360,1,Urban,Y
23,Male,Yes,0,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,N
65,Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,N
176,Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,Y
179,Male,Yes,1,Graduate,No,3750,0.0,116,360,1,Semiurban,Y
222,Male,Yes,2,Graduate,No,4009,1717.0,116,360,1,Semiurban,Y
356,Female,No,0,Graduate,No,3813,0.0,116,180,1,Urban,Y
331,Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,Y
115,Male,No,0,Graduate,No,5050,0.0,118,360,1,Semiurban,Y
151,Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,N
457,Male,Yes,0,Graduate,No,4301,0.0,118,360,1,Urban,Y
495,Male,Yes,0,Graduate,No,3597,2157.0,119,360,0,Rural,N
4,Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y
30,Female,No,2,Graduate,No,3750,2083.0,120,360,1,Semiurban,Y
49,Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,N
52,Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,Y
61,Male,Yes,0,Graduate,No,2500,3796.0,120,360,1,Urban,Y
108,Male,No,0,Not Graduate,Yes,7333,0.0,120,360,1,Rural,N
159,Male,No,0,Graduate,No,2980,2083.0,120,360,1,Rural,Y
186,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,Y
195,Male,No,0,Graduate,No,4191,0.0,120,360,1,Rural,Y
198,Female,No,0,Not Graduate,No,1907,2365.0,120,120,1,Urban,Y
206,Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban,Y
233,Male,No,0,Not Graduate,No,3189,2598.0,120,120,1,Rural,Y
241,Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural,Y
246,Male,No,0,Graduate,Yes,6050,4333.0,120,180,1,Urban,N
264,Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,Y
288,Male,Yes,0,Graduate,No,3704,2000.0,120,360,1,Rural,Y
317,Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban,Y
376,Male,Yes,0,Graduate,No,4817,923.0,120,180,1,Urban,Y
393,Male,Yes,0,Graduate,No,2583,2115.0,120,360,1,Urban,Y
566,Male,Yes,0,Not Graduate,No,4467,0.0,120,360,1,Rural,Y
163,Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban,N
426,Male,Yes,0,Graduate,No,2666,4300.0,121,360,1,Rural,Y
27,Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,Y
94,Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,Y
144,Male,Yes,0,Graduate,No,2698,2034.0,122,360,1,Semiurban,Y
238,Female,No,0,Graduate,Yes,3463,0.0,122,360,1,Urban,Y
245,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y
249,Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,Y
518,Male,Yes,2,Not Graduate,No,3074,1800.0,123,360,0,Semiurban,N
568,Male,Yes,4,Graduate,No,3400,2500.0,123,360,0,Rural,N
205,Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban,Y
280,Female,Yes,0,Not Graduate,No,4100,0.0,124,360,1,Rural,Y
322,Male,Yes,4,Graduate,No,4342,189.0,124,360,1,Semiurban,Y
368,Male,No,0,Graduate,No,5124,0.0,124,360,0,Rural,N
505,Male,Yes,0,Not Graduate,No,3814,1483.0,124,300,1,Semiurban,Y
16,Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y
69,Male,Yes,4,Not Graduate,Yes,7100,0.0,125,60,1,Urban,Y
150,Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban,Y
345,Male,Yes,2,Graduate,No,2583,2330.0,125,360,1,Rural,Y
390,Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural,Y
451,Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural,N
535,Female,No,0,Not Graduate,Yes,18165,0.0,125,360,1,Urban,Y
67,Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,N
273,Male,No,0,Graduate,No,2833,1857.0,126,360,1,Rural,Y
348,Male,Yes,2,Not Graduate,No,3083,2168.0,126,360,1,Urban,Y
536,Male,No,0,Not Graduate,Yes,2550,2042.0,126,360,1,Rural,Y
210,Male,No,0,Graduate,No,3418,0.0,127,360,1,Semiurban,N
220,Female,Yes,2,Graduate,No,4283,2383.0,127,360,1,Semiurban,Y
292,Male,Yes,2,Graduate,No,4400,0.0,127,360,0,Semiurban,N
2,Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural,N
212,Male,Yes,4,Graduate,No,3430,1250.0,128,360,0,Semiurban,N
225,Male,Yes,0,Graduate,No,6250,0.0,128,360,1,Semiurban,Y
260,Male,Yes,4,Not Graduate,No,4931,0.0,128,360,1,Semiurban,N
265,Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban,Y
381,Male,Yes,0,Graduate,No,3333,2500.0,128,360,1,Semiurban,Y
384,Male,No,0,Graduate,Yes,7167,0.0,128,360,1,Urban,Y
462,Male,Yes,4,Graduate,No,7740,0.0,128,180,1,Urban,Y
483,Male,Yes,0,Graduate,No,2083,3150.0,128,360,1,Semiurban,Y
544,Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban,Y
603,Male,Yes,4,Graduate,No,5703,0.0,128,360,1,Urban,Y
140,Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N
168,Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural,Y
80,Male,Yes,4,Not Graduate,Yes,3333,2166.0,130,360,1,Semiurban,Y
214,Male,Yes,4,Not Graduate,Yes,5703,0.0,130,360,1,Rural,Y
327,Male,No,0,Graduate,No,4917,0.0,130,360,0,Rural,Y
355,Female,Yes,0,Graduate,No,2423,505.0,130,360,1,Semiurban,Y
363,Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban,Y
377,Male,Yes,4,Graduate,No,8750,4996.0,130,360,1,Rural,Y
378,Male,Yes,0,Graduate,No,4310,0.0,130,360,1,Semiurban,Y
380,Male,Yes,2,Graduate,No,5391,0.0,130,360,1,Urban,Y
446,Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural,Y
530,Male,No,0,Not Graduate,No,6783,0.0,130,360,1,Semiurban,Y
91,Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,Y
100,Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y
218,Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,Y
486,Male,Yes,1,Not Graduate,No,1958,2436.0,131,360,1,Rural,Y
303,Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural,Y
324,Female,No,0,Graduate,No,3166,2985.0,132,360,1,Rural,Y
387,Male,No,0,Not Graduate,No,2346,1600.0,132,360,1,Semiurban,Y
464,Female,No,1,Not Graduate,Yes,5191,0.0,132,360,1,Semiurban,Y
478,Male,Yes,2,Graduate,No,2873,1872.0,132,360,0,Semiurban,N
555,Male,Yes,0,Graduate,No,3593,4266.0,132,180,0,Rural,N
564,Male,No,0,Not Graduate,Yes,5800,0.0,132,360,1,Semiurban,Y
19,Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural,N
101,Male,Yes,2,Not Graduate,No,4288,3263.0,133,180,1,Urban,Y
366,Male,No,0,Not Graduate,No,6216,0.0,133,360,1,Rural,N
428,Male,Yes,2,Graduate,No,5935,0.0,133,360,1,Semiurban,Y
614,Female,No,0,Graduate,Yes,4583,0.0,133,360,0,Semiurban,N
44,Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,Y
54,Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N
262,Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban,Y
293,Male,Yes,2,Graduate,No,3153,1560.0,134,360,1,Urban,Y
58,Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural,N
204,Male,Yes,1,Not Graduate,No,3500,1083.0,135,360,1,Urban,Y
217,Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural,N
269,Female,No,0,Graduate,Yes,3418,0.0,135,360,1,Rural,N
298,Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,Y
307,Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural,Y
396,Male,Yes,2,Graduate,No,3276,484.0,135,360,1,Semiurban,Y
70,Female,No,0,Graduate,No,4300,0.0,136,360,0,Semiurban,N
86,Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,Y
111,Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,Y
272,Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,Y
389,Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban,Y
459,Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural,Y
577,Male,Yes,0,Graduate,No,3087,2210.0,136,360,0,Semiurban,N
97,Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,Y
123,Female,No,0,Graduate,No,2137,8980.0,137,360,0,Semiurban,Y
215,Male,Yes,0,Graduate,No,3173,3021.0,137,360,1,Urban,Y
